año,Mes,Estamento,cargo_funcion,grado_jornada,calif_form,region,as_espec,r_bruta_mens,r_liquida_mens,r_adic,r_bonos_inc,der_hr_ext,mont_hr_ext_diur,mont_hr_ext_noct,mont_hr_ext_fest,fecha_in,fecha_ter,viaticos,observaciones,id
2013,Enero,Administrativo,ADMINISTRATIVO TRANSITO,12,ESTUDIOS UNIVERSITARIOS INCOMPLETOS,Región Metropolitana de Santiago,-1,$653.697,-,-,-,No,"2.935,00 : 1,00 hrs","17.610,00 : 5,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,0
2013,Enero,Auxiliar,AUXILIAR ASEO DAO,15,EGRESADO ENSEÑANZA MEDIA,Región Metropolitana de Santiago,-2,$439.332,-,-,-,No,"16.973,00 : 9,00 hrs","47.524,00 : 21,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,5
2013,Enero,Administrativo,ADMINISTRATIVO ORG. COMUNITARIAS DIDECO,16,AGENTE COMERCIAL,Región Metropolitana de Santiago,-2,$424.534,-,-,-,No,"71.079,00 : 40,00 hrs","63.971,00 : 30,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,9
2013,Enero,Técnico,TECNICO VETERINARIO MEDIO AMBIENTE DIDECO,10,MEDICO VETERINARIO,Región Metropolitana de Santiago,-2,$834.066,-,-,-,No,"33.894,00 : 8,00 hrs","116.933,00 : 23,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,14
2013,Enero,Profesional,PROFESIONAL DIRECCION DE ADMINISTRACION Y FINANZAS,9,ADMINISTRADOR PUBLICO,Región Metropolitana de Santiago,-1,$1.004.650,-,-,-,No,"179.707,00 : 35,00 hrs","166.357,00 : 27,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,16
2013,Enero,Profesional,PROFESIONAL DAF,6,ADMINISTRADOR PUBLICO,Región Metropolitana de Santiago,-1,$0,-,-,-,No,No tiene,No tiene,No tiene,01-01-2013,01-01-2013,No informa,Sin observaciones,44
2013,Enero,Técnico,JEFE DPTO. ADMINISTRACION DAF,10,INGENIERO DE EJECUCION INDUSTRIAL,Región Metropolitana de Santiago,-2,$839.870,-,-,-,No,"101.681,00 : 24,00 hrs","106.765,00 : 21,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,45
2013,Enero,Administrativo,CAJERA TESORERIA MUNICIPAL,17,4TO MEDIO COMERCIAL,Región Metropolitana de Santiago,-1,$378.522,-,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,49
2013,Enero,Administrativo,ADMISTRATIVO SECRETARIA PERMISO DE CIRCULACION,14,4TO. MEDIO,Región Metropolitana de Santiago,-2,$501.987,-,-,-,No,"44.793,00 : 21,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,50
2013,Enero,Administrativo,ADM.-COTIZADOR ADQUISICIONES DAF,13,4TO. MEDIO,Región Metropolitana de Santiago,-1,$587.759,-,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,54
