año,Mes,Estamento,cargo_funcion,grado_jornada,calif_form,region,as_espec,r_bruta_mens,r_liquida_mens,r_adic,r_bonos_inc,der_hr_ext,mont_hr_ext_diur,mont_hr_ext_noct,mont_hr_ext_fest,fecha_in,fecha_ter,viaticos,observaciones,id,monto_hr_ext_diur,hr_ext_diur,monto_hr_ext_noct,hr_ext_noct,monto_hr_ext_fest,hr_ext_fest
2013,Enero,Administrativo,ADMINISTRATIVO TRANSITO,12,ESTUDIOS UNIVERSITARIOS INCOMPLETOS,Región Metropolitana de Santiago,-1,653697,,-,-,No,"2.935,00 : 1,00 hrs","17.610,00 : 5,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,0,2.935,1.0,17.61,5.0,0.0,0.0
2013,Enero,Auxiliar,AUXILIAR ASEO DAO,15,EGRESADO ENSEÑANZA MEDIA,Región Metropolitana de Santiago,-2,439332,,-,-,No,"16.973,00 : 9,00 hrs","47.524,00 : 21,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,5,16.973,9.0,47.524,21.0,0.0,0.0
2013,Enero,Administrativo,ADMINISTRATIVO ORG. COMUNITARIAS DIDECO,16,AGENTE COMERCIAL,Región Metropolitana de Santiago,-2,424534,,-,-,No,"71.079,00 : 40,00 hrs","63.971,00 : 30,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,9,71.079,40.0,63.971,30.0,0.0,0.0
2013,Enero,Técnico,TECNICO VETERINARIO MEDIO AMBIENTE DIDECO,10,MEDICO VETERINARIO,Región Metropolitana de Santiago,-2,834066,,-,-,No,"33.894,00 : 8,00 hrs","116.933,00 : 23,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,14,33.894,8.0,116.933,23.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DIRECCION DE ADMINISTRACION Y FINANZAS,9,ADMINISTRADOR PUBLICO,Región Metropolitana de Santiago,-1,1004650,,-,-,No,"179.707,00 : 35,00 hrs","166.357,00 : 27,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,16,179.707,35.0,166.357,27.0,0.0,0.0
2013,Enero,Profesional,PROFESIONAL DAF,6,ADMINISTRADOR PUBLICO,Región Metropolitana de Santiago,-1,0,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,01-01-2013,No informa,Sin observaciones,44,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Técnico,JEFE DPTO. ADMINISTRACION DAF,10,INGENIERO DE EJECUCION INDUSTRIAL,Región Metropolitana de Santiago,-2,839870,,-,-,No,"101.681,00 : 24,00 hrs","106.765,00 : 21,00 hrs",No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,45,101.681,24.0,106.765,21.0,0.0,0.0
2013,Enero,Administrativo,CAJERA TESORERIA MUNICIPAL,17,4TO MEDIO COMERCIAL,Región Metropolitana de Santiago,-1,378522,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,49,0.0,0.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,ADMISTRATIVO SECRETARIA PERMISO DE CIRCULACION,14,4TO. MEDIO,Región Metropolitana de Santiago,-2,501987,,-,-,No,"44.793,00 : 21,00 hrs",No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,50,44.793,21.0,0.0,0.0,0.0,0.0
2013,Enero,Administrativo,ADM.-COTIZADOR ADQUISICIONES DAF,13,4TO. MEDIO,Región Metropolitana de Santiago,-1,587759,,-,-,No,No tiene,No tiene,No tiene,01-01-2013,30-04-2013,No informa,Sin observaciones,54,0.0,0.0,0.0,0.0,0.0,0.0
